gross_ceded,res_cat,entry_no,val_standard,val_rate,category,total,industrial,ordinary,credit,group
gross,01,0100034,"58 CSO, 3%, CRVM, 61 and later, NB",3%,Life Insurance,574518,NA,574518,NA,NA
gross,01,0100035,"58 CSO, 3%/20/2.5%, 65-73",3%,Life Insurance,1915283875,NA,1915283875,NA,NA
gross,01,0100036,"58 CSO, 3%/20/2.5%, CRVM/GCV, 65-73",3%,Life Insurance,614719973,NA,614719973,NA,NA
gross,01,0100037,"58 CSO, 3.5%, 61-91",3.5%,Life Insurance,18397237,NA,1480756,NA,16916481
gross,01,0100038,"58 CSO, 3.5%, CRVM, 70-90",3.5%,Life Insurance,1701659,NA,1701659,NA,NA
gross,01,0100039,"58 CSO, 3.5%/20/2.75%, 74-86",3.5%,Life Insurance,1565928325,NA,1565928325,NA,NA
gross,01,0100040,"58 CSO, 3.5%/20/2.75%, CRVM/GCV, 74-86",3.5%,Life Insurance,910844362,NA,910844362,NA,NA
gross,01,0100041,"58 CSO, 3.5%/20/3%, 65-79",3.5%,Life Insurance,2249540,NA,2249540,NA,NA
gross,01,0100042,"58 CSO, 3.5%/20/3%, CRVM, 65-79",3.5%,Life Insurance,3243407,NA,3243407,NA,NA
gross,01,0100043,"58 CSO, 3.5%-2.5%, 73-83",3.5%,Life Insurance,124716062,NA,124716062,NA,NA
gross,01,0100044,"58 CSO, 4%",4%,Life Insurance,72829812,NA,66079656,NA,6750156
gross,01,0100045,"58 CSO, 4%, CRVM, 77 and later",4%,Life Insurance,1075125730,NA,1075055635,NA,70095
gross,01,0100046,"58 CSO, 4%, CRVM/GCV, 79",4%,Life Insurance,79943601,NA,79943601,NA,NA
gross,01,0100047,"58 CSO, 4.5%, 57-92",4.5%,Life Insurance,1070546241,NA,1070546241,NA,NA
gross,01,0100048,"58 CSO, 4.5%, CRVM, 57-92",4.5%,Life Insurance,2925395365,NA,2925395365,NA,NA
gross,01,0100049,"58 CSO, 4.5% CRVM, UL, 82-88",4.5%,Life Insurance,82903731,NA,82903731,NA,NA
gross,01,0100050,"58 CSO, 5.5%, 83-88",5.5%,Life Insurance,598875837,NA,598875837,NA,NA
gross,01,0100051,"58 CSO, 6%, 84-86",6%,Life Insurance,326139440,NA,326139440,NA,NA
gross,01,0100052,"58 CSO, 6%, CRVM/GCV, 84-86",6%,Life Insurance,523780077,NA,523780077,NA,NA
gross,01,0100053,"58 CET, 2.5%, 63-92",2.5%,Life Insurance,88709,NA,88709,NA,NA
gross,01,0100054,"58 CET, 3%, 61-79",3%,Life Insurance,13725,NA,13725,NA,NA
gross,01,0100055,"58 CET, 3%/20/2.5%, 65-73",3%,Life Insurance,76443142,NA,76443142,NA,NA
gross,01,0100056,"58 CET, 3.5%/20/2.75%, 74 and later, NB",3.5%,Life Insurance,88366796,NA,88366796,NA,NA
gross,01,0100057,"58 CET, 4%/20/3.5, 79-86",4%,Life Insurance,54913496,NA,54913496,NA,NA
gross,01,0100058,"58 CET, 4.5%/20/4%, 81-86",4.5%,Life Insurance,43821353,NA,43821353,NA,NA
gross,01,0100059,"60 CSG, 3%",3%,Life Insurance,2964267,NA,NA,NA,2964267
gross,01,0100060,"60 CSG, 6%, CRVM, UL",6%,Life Insurance,1592377,NA,NA,NA,1592377
gross,01,0100061,"80 CSO, 2.5%, 87 and later, NB",2.5%,Life Insurance,164127,NA,164127,NA,NA
gross,01,0100062,"80 CSO, 4%",4%,Life Insurance,1075953120,NA,1058868415,NA,17084705
gross,01,0100063,"80 CSO, 4%, CRVM, 84 and later",4%,Life Insurance,80882719,NA,39128724,NA,41753995
gross,01,0100064,"80 CSO, 4%, CRVM, UL, 84 and later",4%,Life Insurance,5401002967,NA,3476872107,NA,1924130860
gross,01,0100065,"80 CSO, 4.5%, 95 & later, NB",4.5%,Life Insurance,2211758553,NA,2211743912,NA,14641
gross,01,0100066,"80 CSO, 4.5%, UL",4.5%,Life Insurance,45935664,NA,22558710,NA,23376954
gross,01,0100067,"80 CSO, 4.5% CRVM - 86 and later",4.5%,Life Insurance,9121679384,NA,8961584949,NA,160094435
gross,01,0100068,"80 CSO, 4.5% CRVM, UL",4.5%,Life Insurance,251643657,NA,57485274,NA,194158383
gross,01,0100069,"80 CSO, 4.75 %, 99 and later, NB",%,Life Insurance,27301,NA,27301,NA,NA
gross,01,0100070,"80 CSO, 4.75 %, CRVM, 99 and later, NB",%,Life Insurance,696055,NA,696055,NA,NA
gross,01,0100071,"80 CSO, 5%, 84 and later",5%,Life Insurance,1020841692,NA,1020841692,NA,NA
gross,01,0100072,"80 CSO, 5%, UL",5%,Life Insurance,2110237,NA,NA,NA,2110237
gross,01,0100073,"80 CSO, 5%, CRVM, 89 & later",5%,Life Insurance,3531332216,NA,3510420175,NA,20912041
gross,01,0100074,"80 CSO, 5%, CRVM, UL, 93 & later",5%,Life Insurance,51356319,NA,44578903,NA,6777416
gross,01,0100075,"80 CSO, 5.25%, 94 & later, NB",5.25%,Life Insurance,332536,NA,332536,NA,NA
gross,01,0100076,"80 CSO, 5.25%, CRVM, 94 & later, NB",5.25%,Life Insurance,482809,NA,482809,NA,NA
gross,01,0100077,"80 CSO, 5.5%",5.5%,Life Insurance,2824079165,NA,2823234727,NA,844438
gross,01,0100078,"80 CSO, 5.5%, UL",5.5%,Life Insurance,4117736,NA,NA,NA,4117736
gross,01,0100079,"80 CSO, 5.5%, CRVM, 86 & later, NB",5.5%,Life Insurance,9226639689,NA,9149749200,NA,76890489
gross,01,0100080,"80 CSO, 5.5%, CRVM, UL, 87-94",5.5%,Life Insurance,663171240,NA,165514588,NA,497656652
gross,01,0100081,"80 CSO, 5.5%/20/4%, CRVM, 87-92",5.5%,Life Insurance,19815374,NA,19815374,NA,NA
gross,01,0100082,"80 CSO, 6%",6%,Life Insurance,257835862,NA,257570361,NA,265501
gross,01,0100083,"80 CSO, 6%, UL, 1995",6%,Life Insurance,81643247,NA,80909659,NA,733588
gross,01,0100084,"80 CSO, 6%, CRVM, 84 and later, NB",6%,Life Insurance,396551323,NA,396551323,NA,NA
gross,01,0100085,"80 CET, 4%, 90 and later, NB",4%,Life Insurance,132418943,NA,132418943,NA,NA
gross,01,0100086,"80 CET, 4.5%, 65-73",4.5%,Life Insurance,69968170,NA,69968170,NA,NA
gross,01,0100087,"80 CET, 5%, NLP-ALB 93 & later, NB",5%,Life Insurance,225,NA,225,NA,NA
gross,01,0100088,"80 CET, 5.5%, 87-91, NB",5.5%,Life Insurance,39429432,NA,39429432,NA,NA
gross,01,0100089,"80 CET, 5.5 %/20/4%, 87 and later, NB",%,Life Insurance,182361862,NA,182361862,NA,NA
gross,01,0100090,"80 CET, 5.5%/20/4.5%, 84 and later, NB",5.5%,Life Insurance,26783848,NA,26783848,NA,NA
gross,01,0100091,"INT, 3%, 35-41",3%,Life Insurance,801568,NA,801568,NA,NA
gross,01,0100092,"INT, 3.5%, 34 and prior",3.5%,Life Insurance,312683,NA,312683,NA,NA
gross,01,0100093,"41 INT, 2.5%, 48-59",2.5%,Life Insurance,18063788,NA,18063788,NA,NA
gross,01,0100094,"41 INT, 2.75%, 42-47",2.75%,Life Insurance,4480057,NA,4480057,NA,NA
gross,01,0100095,"Gross Modal Unearned Premium Reserve, 1997 and later, NB",NA,Life Insurance,8603603,NA,88166,3606,8511831
gross,01,0100096,Funds for Retiree Life,NA,Life Insurance,783114944,NA,NA,NA,783114944
gross,01,0100097,"01 CSO, 4.50%, CRVM, UL",4.50%,Life Insurance,291107438,NA,291107438,NA,NA
gross,01,0100098,"01 CSO, 4.50%, CRVM",4.50%,Life Insurance,9032386,NA,9011456,NA,20930
gross,01,0100099,"01 CSO, 4.00%, CRVM, UL",4.00%,Life Insurance,2666976205,NA,2666976205,NA,NA
gross,01,0100100,Reserve Funds Under Universal Life Contracts,NA,Life Insurance,3109020,NA,3109020,NA,NA
gross,01,0100101,"01 CSO, 4.25%, CRVM",4.25%,Life Insurance,49129,NA,49129,NA,NA
gross,01,0100102,"58 CSO, 2.25%",2.25%,Life Insurance,833,NA,833,NA,NA
gross,01,0100103,"80 CSO, 4.5%/20/4%, CRVM",4.5%,Life Insurance,5579995,NA,5579995,NA,NA
gross,01,0100104,"80 CSO, 5%/20/4%, CRVM",5%,Life Insurance,16066935,NA,16066935,NA,NA
gross,01,0100105,"80 CSO, 3%, 84 and later (CRVM) UL",3%,Life Insurance,363632250,NA,363497501,NA,134749
gross,01,0100106,"80 CSO, 3.5%, 84 and later (CRVM) UL",3.5%,Life Insurance,238221,NA,70774,NA,167447
gross,01,0100107,"01 CSO, 4.00%, CRVM",4.00%,Life Insurance,1916248096,NA,1801979337,NA,114268759
gross,01,0100108,"01 CSO, 3.50%, CRVM NB",3.50%,Life Insurance,1183015491,NA,980139124,NA,202876367
gross,01,0100109,"01 CSO, 3.75%",3.75%,Life Insurance,186978,NA,186978,NA,NA
gross,02,0200001,"a-1949 Met*, 2.5%, imm & def, 60-73",2.5%,Annuities,974767,NA,974767,NA,NA
gross,02,0200002,"a-1949 Met*, 2.75%, imm & def, 60-73",2.75%,Annuities,23651921,NA,23651921,NA,NA
gross,02,0200003,"a-1949 Met*, 3.5%, imm & def, 66-74",3.5%,Annuities,471853,NA,471853,NA,NA
gross,02,0200004,"51 GAM, 3.5%, imm & def, 75 and prior",3.5%,Annuities,23519301,NA,NA,NA,23519301
gross,02,0200005,"51 GAM, 3.5%, imm",3.5%,Annuities,575261,NA,NA,NA,575261
gross,02,0200006,"51 GAM Proj to 71 Scale C, 2.75%, imm & def",2.75%,Annuities,16029,NA,NA,NA,16029
gross,02,0200007,"51 GAM Proj to 71 Scale C, 4%, imm & def",4%,Annuities,1239486,NA,NA,NA,1239486
gross,02,0200008,"71 IAM, 3%, imm & def, 74-81",3%,Annuities,544444,NA,544444,NA,NA
gross,02,0200009,"71 IAM, 3.25%, imm & def, 74-81",3.25%,Annuities,36797182,NA,36797182,NA,NA
gross,02,0200010,"71 IAM, 4%, imm & def, 76-80",4%,Annuities,8311949,NA,8311949,NA,NA
gross,02,0200011,"71 IAM, 4.5%, def, 81-83",4.5%,Annuities,70032656,NA,70032656,NA,NA
gross,02,0200012,"71 IAM, 5.5%, def, 81-83",5.5%,Annuities,322785218,NA,322785218,NA,NA
gross,02,0200013,"71 IAM, 6%, imm & def, 75-92",6%,Annuities,1857433,NA,1857433,NA,NA
gross,02,0200014,"71 IAM, 6.25%, def, 90-92",6.25%,Annuities,10975973,NA,10975973,NA,NA
gross,02,0200015,"71 IAM, 6.5%, imm & def, 89",6.5%,Annuities,6136227,NA,6136227,NA,NA
gross,02,0200016,"71 IAM, 6.75%, imm & def, 86-88",6.75%,Annuities,19192828,NA,19192828,NA,NA
gross,02,0200017,"71 IAM, 7%, imm & def, 82-91",7%,Annuities,1102451,NA,1102451,NA,NA
gross,02,0200018,"71 IAM, 7.25%, imm & def, 67-86",7.25%,Annuities,1141159,NA,1141159,NA,NA
gross,02,0200019,"71 IAM, 8%, imm & def, 87-94",8%,Annuities,29301746,NA,29301746,NA,NA
gross,02,0200020,"71 IAM, 8.25%, imm & def, 82-84",8.25%,Annuities,39183,NA,39183,NA,NA
gross,02,0200021,"71 IAM, 8.5%, def, 84-85",8.5%,Annuities,1791371,NA,1791371,NA,NA
gross,02,0200022,"71 IAM, 9.25%, imm & def, 82-84",9.25%,Annuities,24650,NA,24650,NA,NA
gross,02,0200023,"71 GAM, 2.75%, imm & def",2.75%,Annuities,186941,NA,NA,NA,186941
gross,02,0200024,"71 GAM, 6%, imm & def, 73-83",6%,Annuities,258658588,NA,NA,NA,258658588
gross,02,0200025,"71 GAM, 6.75%, imm & def",6.75%,Annuities,3129282,NA,NA,NA,3129282
gross,02,0200026,"71 GAM, 7.5%, imm & def, 77-84",7.5%,Annuities,7223331,NA,NA,NA,7223331
gross,02,0200027,"71 GAM, 8.25%, imm & def",8.25%,Annuities,451072,NA,NA,NA,451072
gross,02,0200028,"71 GAM, 9%, imm & def, 84",9%,Annuities,44970,NA,NA,NA,44970
gross,02,0200029,"71 GAM, 9.5%, imm & def, 84",9.5%,Annuities,460701,NA,NA,NA,460701
gross,02,0200030,"71 GAM, 9.75%, imm & def, 83-84",9.75%,Annuities,964987,NA,NA,NA,964987
gross,02,0200031,"71 GAM, 10.75%, imm & def, 84",10.75%,Annuities,171579,NA,NA,NA,171579
gross,02,0200032,"71 GAM, 11.25%, imm & def, 83-84",11.25%,Annuities,315474,NA,NA,NA,315474
gross,02,0200033,"83a, 4%, imm & def, 72 and later",4%,Annuities,36672065,NA,996197,NA,35675868
gross,02,0200034,"83a, 4.5%, imm & def, 99",4.5%,Annuities,254020587,NA,8645900,NA,245374687
gross,02,0200035,"83a, 4.75%, imm & def, 98 and later",4.75%,Annuities,706243032,NA,29614117,NA,676628915
gross,02,0200036,"83a, 5%, imm & def, 96",5%,Annuities,758273266,NA,19688537,NA,738584729
gross,02,0200037,"83a, 5.25%, def, 94 and later",5.25%,Annuities,897601701,NA,29504935,NA,868096766
gross,02,0200038,"83a, 5.5%, def, 93 and later",5.5%,Annuities,1745997328,NA,239461529,NA,1506535799
gross,02,0200039,"83a, 5.75%, imm & def, 92-93",5.75%,Annuities,383934159,NA,211222455,NA,172711704
gross,02,0200040,"83a, 6%, imm & def, 87 and later",6%,Annuities,1124889925,NA,98274853,NA,1026615072
gross,02,0200041,"83a, 6.25%, imm & def, 87-92",6.25%,Annuities,504989631,NA,83527193,NA,421462438
gross,02,0200042,"83a, 6.5%, imm & def, 87 and later",6.5%,Annuities,669431400,NA,419669641,NA,249761759
gross,02,0200043,"83a, 6.75%, imm & def, 87 and later",6.75%,Annuities,427406941,NA,136791451,NA,290615490
gross,02,0200044,"83a, 7%, imm & def, 86 and later",7%,Annuities,196610813,NA,84130235,NA,112480578
gross,02,0200045,"83a, 7.25%, imm & def, 86 and later",7.25%,Annuities,65696953,NA,65696953,NA,NA
gross,02,0200046,"83a, 7.5%, imm & def, 84 and later",7.5%,Annuities,22595009,NA,22595009,NA,NA
gross,02,0200047,"83a, 7.75%, imm & def, 83-92",7.75%,Annuities,12876366,NA,12876366,NA,NA
gross,02,0200048,"83a, 8%, imm & def, 84-91",8%,Annuities,28222968,NA,28222968,NA,NA
gross,02,0200049,"83a, 8.25%, imm & def, 84 and later",8.25%,Annuities,61529343,NA,61529343,NA,NA
gross,02,0200050,"83a, 8.5%, imm & def, 84-91",8.5%,Annuities,270051254,NA,270051254,NA,NA
gross,02,0200051,"83a, 8.75%, imm & def, 84-91",8.75%,Annuities,100154813,NA,100154813,NA,NA
gross,02,0200052,"83a, 9.25%, imm & def, 85-86",9.25%,Annuities,8008542,NA,8008542,NA,NA
gross,02,0200053,"83a, 9.5%, imm & def, 85-90",9.5%,Annuities,29390704,NA,29390704,NA,NA
gross,02,0200054,"83a, 9.75%, imm & def, 83-84",9.75%,Annuities,22026078,NA,22026078,NA,NA
gross,02,0200055,"83 GAM, 5%, imm & def, 94 and later",5%,Annuities,283721266,NA,NA,NA,283721266
gross,02,0200056,"83 GAM, 5.25%, imm & def, 93 and later",5.25%,Annuities,80371268,NA,NA,NA,80371268
gross,02,0200057,"83 GAM, 5.5%, imm & def, 94 and later",5.5%,Annuities,62205686,NA,NA,NA,62205686
gross,02,0200058,"83 GAM, 5.75%, imm and def, 87 and later",5.75%,Annuities,88440189,NA,NA,NA,88440189
gross,02,0200059,"83 GAM, 6%, imm & def, 86 and later",6%,Annuities,234868813,NA,NA,NA,234868813
gross,02,0200060,"83 GAM, 6.25%, imm & def, 88 and later",6.25%,Annuities,198166573,NA,NA,NA,198166573
gross,02,0200061,"83 GAM, 6.5%, immd & def, 85 and later",6.5%,Annuities,353642386,NA,NA,NA,353642386
gross,02,0200062,"83 GAM, 6.75%, imm & def, 90 and later",6.75%,Annuities,401324382,NA,NA,NA,401324382
gross,02,0200063,"83 GAM, 7%, imm & def, 93 and later",7%,Annuities,390195456,NA,NA,NA,390195456
gross,02,0200064,"83 GAM, 7.25%, imm & def, 87 and later",7.25%,Annuities,556328819,NA,NA,NA,556328819
gross,02,0200065,"83 GAM, 7.5%, imm & def, 81 and later",7.5%,Annuities,690636788,NA,NA,NA,690636788
gross,02,0200066,"83 GAM, 7.75%, imm & def, 87 and later",7.75%,Annuities,339443128,NA,NA,NA,339443128
gross,02,0200067,"83 GAM, 8%, imm & def, 86 and later",8%,Annuities,232750019,NA,NA,NA,232750019
gross,02,0200068,"83 GAM, 8.25%, imm & def, 85 and later",8.25%,Annuities,220097209,NA,NA,NA,220097209
gross,02,0200069,"83 GAM, 8.5%, imm & def, 86-92",8.5%,Annuities,62871313,NA,NA,NA,62871313
gross,02,0200070,"83 GAM, 8.75%, imm & def, 86-92",8.75%,Annuities,121019282,NA,NA,NA,121019282
gross,02,0200071,"83 GAM, 9.25%, imm & def, 86-90",9.25%,Annuities,149536835,NA,NA,NA,149536835
gross,02,0200072,"83 GAM, 9.5%, imm & def, 85-91",9.5%,Annuities,282925036,NA,NA,NA,282925036
gross,02,0200073,"83 GAM, 9.75%, imm & def, 85-92",9.75%,Annuities,118643,NA,NA,NA,118643
gross,02,0200074,"83 GAM, 10.5%, imm & def, 85",10.5%,Annuities,1491893,NA,NA,NA,1491893
gross,02,0200075,"83 GAM, 11%, imm & def, 85",11%,Annuities,802729,NA,NA,NA,802729
gross,02,0200076,"1994 GAR, 4.75%, imm & def, 98 and later",4.75%,Annuities,141846285,NA,NA,NA,141846285
gross,02,0200077,"1994 GAR, 5%, imm & def, 98 and later",5%,Annuities,947558766,NA,NA,NA,947558766
gross,02,0200078,"1994 GAR, 5.25%, imm & def, 00",5.25%,Annuities,639729173,NA,NA,NA,639729173
gross,02,0200079,"1994 GAR, 5.5%, imm & def, 99",5.5%,Annuities,1245552683,NA,NA,NA,1245552683
gross,02,0200080,"1994 GAR, 5.75%, imm & def, 98 and later",5.75%,Annuities,43406302,NA,NA,NA,43406302
gross,02,0200081,"1994 GAR, 6%, imm & def, 98 and later",6%,Annuities,722210775,NA,NA,NA,722210775
gross,02,0200082,"1994 GAR, 6.25%, imm & def, 98 and later",6.25%,Annuities,331248995,NA,NA,NA,331248995
gross,02,0200083,"1994 GAR, 6.5%, imm & def, 01",6.5%,Annuities,653200595,NA,NA,NA,653200595
gross,02,0200084,"1994 GAR, 6.75%, imm & def, 00",6.75%,Annuities,87548959,NA,NA,NA,87548959
gross,02,0200085,"1994 GAR, 7%, imm & def, 00",7%,Annuities,65840321,NA,NA,NA,65840321
gross,02,0200086,"a-2000, 5.25%, imm & def, 1999 and later",5.25%,Annuities,52950397,NA,52950397,NA,NA
gross,02,0200087,"a-2000, 5.50%, imm & def, 2001 and later",5.50%,Annuities,146072148,NA,146072148,NA,NA
gross,02,0200088,"a-2000, 5.75%, imm & def, 98 and later",5.75%,Annuities,4219986,NA,4219986,NA,NA
gross,02,0200089,"a-2000, 6%, imm & def, 98 and later",6%,Annuities,2395689,NA,2395689,NA,NA
gross,02,0200090,"a-2000, 6.25%, imm & def, 98",6.25%,Annuities,4790390,NA,4790390,NA,NA
gross,02,0200091,"a-2000, 6.5%, imm & def, 01",6.5%,Annuities,2488680,NA,2488680,NA,NA
gross,02,0200092,"a-2000, 6.75%, imm & def, 01",6.75%,Annuities,2256361,NA,2256361,NA,NA
gross,02,0200093,"a-2000, 7%, imm & def, 00",7%,Annuities,1746765,NA,1746765,NA,NA
gross,02,0200094,"Int Only, 3.5%, imm, NB",3.5%,Annuities,645013866,NA,NA,NA,645013866
gross,02,0200095,"Int Only, 4.5%, imm & def, 99, NB",4.5%,Annuities,544328173,NA,2490177,NA,541837996
gross,02,0200096,"Int Only, 4.75%, imm, 85 and later",4.75%,Annuities,683293941,NA,2117391,NA,681176550
gross,02,0200097,"Int Only, 5%, imm & def, 86 & later",5%,Annuities,249538771,NA,570814,NA,248967957
gross,02,0200098,"Int Only, 5.25%, imm & def, 93 and later",5.25%,Annuities,80110358,NA,30623,NA,80079735
gross,02,0200099,"Int Only, 5.5%, imm & def, 94 and later",5.5%,Annuities,231014587,NA,1012828,NA,230001759
gross,02,0200100,"Int Only, 5.75%, imm & def, 92 and later",5.75%,Annuities,39233862,NA,12706,NA,39221156
gross,02,0200101,"Int Only, 6%, imm & def, 75 and later",6%,Annuities,133631600,NA,696572,NA,132935028
gross,02,0200102,"Int Only, 6.25%, imm & def, 88 and later",6.25%,Annuities,22604092,NA,NA,NA,22604092
gross,02,0200103,"Int Only, 6.5%, imm & def, 86 and later",6.5%,Annuities,43543806,NA,75185,NA,43468621
gross,02,0200104,"Int Only, 6.75%, imm & def, 92 and later",6.75%,Annuities,57046810,NA,168815,NA,56877995
gross,02,0200105,"Int Only, 7%, imm & def, 77 and later",7%,Annuities,79954171,NA,NA,NA,79954171
gross,02,0200106,"Int Only, 7.25%, imm & def, 87 and later",7.25%,Annuities,18144763,NA,NA,NA,18144763
gross,02,0200107,"Int Only, 7.5%, imm & def, 77-94",7.5%,Annuities,426604,NA,668,NA,425936
gross,02,0200108,"Int Only, 7.75%, imm & def, 77-95",7.75%,Annuities,66088133,NA,399,NA,66087734
gross,02,0200109,"Int Only, 8%, imm & def, 86 and later",8%,Annuities,804063,NA,NA,NA,804063
gross,02,0200110,"Int Only, 8.25%, imm & def, 86-95",8.25%,Annuities,12536369,NA,851153,NA,11685216
gross,02,0200111,"Int Only, 8.5%, imm & def, 86-88",8.5%,Annuities,529201,NA,NA,NA,529201
gross,02,0200112,"Int Only, 8.75%, imm & def, 86-89",8.75%,Annuities,2779352,NA,NA,NA,2779352
gross,02,0200113,"Int Only, 9.25%, imm & def, 83-92",9.25%,Annuities,896647,NA,NA,NA,896647
gross,02,0200114,"Int Only, 9.5%, imm & def, 84 and later",9.5%,Annuities,3630202,NA,3630167,NA,35
gross,02,0200115,"Int Only, 9.75%, imm & def, 83-92",9.75%,Annuities,1578,NA,NA,NA,1578
gross,02,0200116,CARVM 5.25% def,5.25%,Annuities,104541,NA,104541,NA,NA
gross,02,0200117,CARVM 5.5% def,5.5%,Annuities,1072392,NA,1072392,NA,NA
gross,02,0200118,CARVM 5.75% def,5.75%,Annuities,485350,NA,485350,NA,NA
gross,02,0200119,CARVM 6% def,6%,Annuities,1379477,NA,1379477,NA,NA
gross,02,0200120,CARVM 6.25% def,6.25%,Annuities,6898808,NA,6898808,NA,NA
gross,02,0200121,CARVM 6.50% def,6.50%,Annuities,8883984,NA,8883984,NA,NA
gross,02,0200122,CARVM 6.75% def,6.75%,Annuities,6051988,NA,6051988,NA,NA
gross,02,0200123,CARVM 7% def,7%,Annuities,1419834,NA,1419834,NA,NA
gross,02,0200124,CARVM 7.25% def,7.25%,Annuities,682508,NA,682508,NA,NA
gross,02,0200125,CARVM 8% def,8%,Annuities,756787,NA,756787,NA,NA
gross,02,0200126,RETIREMENT : 2.5% def,2.5%,Annuities,182349,NA,182349,NA,NA
gross,02,0200127,RETIREMENT : 3.5% def,3.5%,Annuities,335071,NA,335071,NA,NA
gross,02,0200128,RETIREMENT : 4% def,4%,Annuities,4490807,NA,4490807,NA,NA
gross,02,0200129,Guaranteed Interest Contracts held at account balance,NA,Annuities,3863211963,NA,NA,NA,3863211963
gross,02,0200130,Group Annuities with Purchase Provisions,NA,Annuities,250915896,NA,NA,NA,250915896
gross,02,0200131,"a-2000, 5%, imm & def, 2003 and later",5%,Annuities,461414416,NA,461414416,NA,NA
gross,02,0200132,"a-2000, 4.75%, imm & def, 2003 and later",4.75%,Annuities,411104797,NA,411104797,NA,NA
gross,02,0200133,"Int Only, 4.25%, Imm & def, NB",4.25%,Annuities,484590407,NA,43689,NA,484546718
gross,02,0200134,"1994 GAR, 4.5%, imm & def, 98 and later, NB",4.5%,Annuities,468678994,NA,1305727,NA,467373267
gross,02,0200135,"a-2000, 4.5%, imm & def, 2004 and later",4.5%,Annuities,570101721,NA,570101721,NA,NA
gross,02,0200136,"71 IAM, 3.5%, imm & def, 72 and later",3.5%,Annuities,47022,NA,47022,NA,NA
