gross_ceded,res_cat,entry_no,val_standard,val_rate,category,total,industrial,ordinary,credit,group
gross,01,0100001,"Standard Industrial, 3.5%, 44 and prior",3.5%,Life Insurance,160983,160983,NA,NA,NA
gross,01,0100002,"Standard Industrial, 4%, 41 and prior",4%,Life Insurance,183370684,183370684,NA,NA,NA
gross,01,0100003,"Sub-Standard Industrial, 3.5%, 41 and prior",3.5%,Life Insurance,17385,17385,NA,NA,NA
gross,01,0100004,"Sub-Standard Industrial, 4%, 41 and prior, NB",4%,Life Insurance,3538501,3538501,NA,NA,NA
gross,01,0100005,"AE, 3%, 08-47",3%,Life Insurance,49385939,NA,49385939,NA,NA
gross,01,0100006,"AE, 3.5%, 45 and prior",3.5%,Life Insurance,471494,NA,471494,NA,NA
gross,01,0100007,"AM(5), 2.25%",2.25%,Life Insurance,4709167,NA,NA,NA,4709167
gross,01,0100008,"AM(5), 2.5 %",%,Life Insurance,227909,NA,222724,NA,5185
gross,01,0100009,"AM(5), 2.75%, 42-47",2.75%,Life Insurance,236233588,NA,236233588,NA,NA
gross,01,0100010,"AM(5), 3%, 45-47",3%,Life Insurance,40719,NA,40719,NA,NA
gross,01,0100011,"41 STD IND, 2.5%, 48-65",2.5%,Life Insurance,4302594,4302594,NA,NA,NA
gross,01,0100012,"41 STD IND, 2.5%, CRVM, 48-65",2.5%,Life Insurance,45009,45009,NA,NA,NA
gross,01,0100013,"41 STD IND, 2.75%, 42-47",2.75%,Life Insurance,347330,347330,NA,NA,NA
gross,01,0100014,"41 STD IND, 3%, 45-47",3%,Life Insurance,101770,101770,NA,NA,NA
gross,01,0100015,"41 STD IND, 3.5%, 46-64",3.5%,Life Insurance,731294789,731294789,NA,NA,NA
gross,01,0100016,"41 STD IND, 4%, 42-45",4%,Life Insurance,190750884,190750884,NA,NA,NA
gross,01,0100017,"130% 41 STD IND, 2.5%, 48-65, NB",130%,Life Insurance,21773,21773,NA,NA,NA
gross,01,0100018,"41 Sub-Std Ind, 2.5%, 48-54",2.5%,Life Insurance,632,632,NA,NA,NA
gross,01,0100019,"41 Sub-Std Ind, 2.75%, 42-47",2.75%,Life Insurance,118598,118598,NA,NA,NA
gross,01,0100020,"41 Sub-Std Ind, 3.5%, 46-54",3.5%,Life Insurance,6490694,6490694,NA,NA,NA
gross,01,0100021,"41 Sub-Std Ind, 4%, 42-45",4%,Life Insurance,9360696,9360696,NA,NA,NA
gross,01,0100022,"41 CSO, 2.5%, 47-66",2.5%,Life Insurance,2557084674,NA,2556669587,NA,415087
gross,01,0100023,"41 CSO 2.5%, CRF, 47-66",2.5%,Life Insurance,50669229,NA,50669229,NA,NA
gross,01,0100024,"41 CSO, 2.5%, 48-65 (NJ STD)",2.5%,Life Insurance,50421,NA,50421,NA,NA
gross,01,0100025,"41 CSO, 2.5%, CRVM, 48-65",2.5%,Life Insurance,157851621,NA,157851621,NA,NA
gross,01,0100026,"130% 41 CSO, 2.5%, 48-65",130%,Life Insurance,3557,NA,3557,NA,NA
gross,01,0100027,"41 Special Class, 2.5%, 48-50",2.5%,Life Insurance,320611,NA,320611,NA,NA
gross,01,0100028,"41 Special Class, 2.75%, 42-47",2.75%,Life Insurance,286141,NA,286141,NA,NA
gross,01,0100029,"50 Special Class, 2.5%, 51-59",2.5%,Life Insurance,4381369,NA,4381369,NA,NA
gross,01,0100030,"58 CSO, 2.5%, 63-92",2.5%,Life Insurance,145449480,NA,145449480,NA,NA
gross,01,0100031,"58 CSO, 2.5 %, CRVM, 65-92",%,Life Insurance,2663299,NA,2663299,NA,NA
gross,01,0100032,"58 CSO, 2.75%",2.75%,Life Insurance,40714,NA,NA,NA,40714
gross,01,0100033,"58 CSO, 3% 61 and later, NB",3%,Life Insurance,12514491,NA,10754083,NA,1760408
